Date,Calories (kcal),Heart Points,Heart Minutes,Step count,Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Move Minutes count,Inactive duration (ms),Walking duration (ms)
11/3/20,1775.074722,27,15,3283,2379.121092,0.658613455,1.85110271,0.321268708,32,75856580,2106004
11/4/20,1770.925676,27,14,2958,2153.419964,0.531165123,1.85375154,0.246387407,27,81815610,2063705
11/5/20,1846.572257,59,34,6319,4059.912116,1.081908059,1.906790733,0.24917613,55,70258498,3265846
11/6/20,2342.316028,159,91,16598,12328.98164,0.965580839,2.086075306,0.250882179,152,61183681,10589353
11/7/20,1637.96402,,,173,73.07219511,0.821312236,1.693534374,0.315553814,1,83372874,
11/8/20,1782.694692,,,1131,628.1129268,0.72510886,1.277214408,0.299850762,9,80597912,2265913
11/9/20,1944.149007,24,15,5314,3649.887743,0.944881981,1.938760757,0.247138515,61,65027120,4765398
11/10/20,1938.995025,52,29,6530,4651.918097,0.751992675,1.894346476,0.27703765,66,73005358,4685947
11/11/20,1700.503854,,,539,280.2258894,0.415146202,1.10766542,0.25701496,5,68336282,979127
11/12/20,1940.386953,63,36,6856,4995.789037,0.734203141,1.91547358,0.245420784,59,75983342,4734485
11/13/20,1997.102795,68,35,7792,5702.084176,0.881570482,1.929243803,0.257959723,73,70821793,5291155
11/14/20,2173.726064,25,18,7308,4970.075046,0.835582329,1.82919991,0.26275757,93,59194444,8356470
11/15/20,2912.475152,188,105,17283,13170.19639,0.982536889,1.972565055,0.28871724,152,50239289,19816460
11/16/20,1862.190279,76,44,7114,5406.99167,0.818840164,1.897561312,0.310321838,61,77595216,3443928
11/17/20,1736.248364,16,9,2215,1586.093139,0.836338476,1.887532949,0.259228587,22,79221493,1538749
11/18/20,1937.246291,24,15,4582,3250.42353,0.999192971,2.038047552,0.271625042,53,69287341,4651052
